Dataset,Custodian,Dep. custodian,Plots
Albanian Vegetation Database,Michele de Sanctis,Giuliano Fanelli,30
Austrian Vegetation Database,Wolfgang Willner,-,781
Balkan Dry Grassland Database,Kiril Vassilev,Armin Macanovi? ,282
Balkan Vegetation Database,Kiril Vassilev,Hristo Pedashenko,27
Basque Country Database,Idoia Biurrun,Itziar Garcia-Mijangos,1059
UK National Vegetation Classification Database,John S. Rodwell,-,104
Bulgarian Vegetation Database,Iva Apostolova,Desislava Sopotlieva,1
Czech National Phytosociological Database,Milan Chytry,Dana Michalcova,242
SOPHY,Henry Brisse,Patrice de Ruffray,717
German Vegetation Reference Database (GVRD),Ute Jandt,Helge Bruelheide,1468
VegetWeb Germany,Florian Jansen,Jörg Ewald,605
VegMV,Florian Jansen,Christian Berg,74
CoenoDat Hungarian Phytosociological Database,János Csiky,Zoltán Botta-Dukát,211
Vegetation database of Habitats in the Italian Alps - HabItAlp,Laura Casella,Pierangela Angelini,21
Vegetation Plot Database - Sapienza University of Rome,Emiliano Agrillo,Fabio Attorre,1069
Semi-natural Grassland Vegetation Database of Latvia,Solvita Rusina,-,901
Dutch National Vegetation Database,Joop Schaminée,Stephan Hennekens,3183
Nordic-Baltic Grassland Vegetation Database (NBGVD),Jurgen Dengler,?ukasz Kozub,341
Romania Grassland Database,Eszter Ruprecht,Kiril Vassilev,53
Slovak Vegetation Database,Milan Valachovi?,Jozef Šibík,123
Iberian and Macaronesian Vegetation Information System (SIVIM) - Alpine,Borja Jiménez-Alfaro,Xavier Font,155
Iberian and Macaronesian Vegetation Information System (SIVIM) - Grasslands,Maria Pilar Rodriquez-Rojo,Xavier Font,590
Iberian and Macaronesian Vegetation Information System (SIVIM) - Scrubs,Rosario G. Gavilán,Xavier Font,1
Iberian and Macaronesian Vegetation Information System (SIVIM) - Wetlands,Aaron Pérez-Haase,Xavier Font,12
Switzerland grasslands,-,-,7679
Ukraine Grassland Database,Anna Kuzemko,Yulia Vashenyak,863
Vegetation Database of Ukraine and Adjacent Parts of Russia,Viktor Onyshchenko,Vitaliy Kolomiychuk,107
VegItaly,Roberto Venanzoni,Flavia Landucci,23
